date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-04-11,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Hisar,Adampur(Agroha),Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-11,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-11,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Mahendragarh,Khanina,Other,2015,2100.0,2015.0
2022-04-11,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-11,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-11,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Gurgaon,Sohna,Other,2015,2025.0,2020.0
2022-04-11,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2016.0
2022-04-11,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kurukshetra,Pipli,WL711,2015,2025.0,2015.0
2022-04-11,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kurukshetra,Shahabad,Local,2016,2018.0,2017.0
2022-04-11,Haryana,Rewari,Rewari,Other,2041,2080.0,2060.0
2022-04-11,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
2022-04-12,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-12,Haryana,Jind,Safidon,Other,2015,2025.0,2016.0
2022-04-12,Haryana,Jind,Jullana,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Kurukshetra,Pipli,WL711,2015,2025.0,2015.0
2022-04-12,Haryana,Rewari,Rewari,Other,2050,2080.0,2065.0
2022-04-12,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-12,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-12,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-12,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-12,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-12,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2016.0
2022-04-12,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-13,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Naraingarh,Other,2015,2016.0,2015.0
2022-04-13,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-13,Haryana,Kaithal,Kaithal,Other,2015,2025.0,2025.0
2022-04-13,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Karnal,Nilokheri,Other,2015,2030.0,2015.0
2022-04-13,Haryana,Hisar,Adampur(Agroha),Other,2015,2015.0,2015.0
2022-04-13,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-13,Haryana,Hisar,Adampur,Other,2020,2020.0,2020.0
2022-04-13,Haryana,Kurukshetra,Shahabad,Local,2015,2018.0,2016.0
2022-04-13,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-13,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2020.0
2022-04-13,Haryana,Jind,Safidon,Other,2015,2025.0,2016.0
2022-04-13,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Jind,Jullana,Other,2015,2020.0,2015.0
2022-04-13,Haryana,Rewari,Rewari,Other,2060,2100.0,2080.0
2022-04-13,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-13,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-14,Haryana,Jind,Jullana,Other,2015,2020.0,2015.0
2022-04-14,Haryana,Ambala,Naraingarh,Other,2015,2016.0,2015.0
2022-04-14,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-14,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-14,Haryana,Hisar,Uklana,Other,2015,2020.0,2015.0
2022-04-14,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Rewari,Rewari,Other,2050,2131.0,2100.0
2022-04-14,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Jind,Safidon,Other,2015,2025.0,2016.0
2022-04-14,Haryana,Jind,Pillukhera,Other,2015,2020.0,2015.0
2022-04-14,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-14,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2015.0
2022-04-14,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-14,Haryana,Karnal,Nilokheri,Other,2015,2030.0,2015.0
2022-04-14,Haryana,Karnal,Jundla,Other,2015,2040.0,2015.0
2022-04-14,Haryana,Kaithal,Kaithal,Other,2015,2025.0,2025.0
2022-04-14,Haryana,Kaithal,Pai,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Kaithal,Cheeka,Other,2015,2025.0,2016.0
2022-04-14,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-14,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-14,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-14,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-14,Haryana,Kurukshetra,Pipli,WL711,2015,2025.0,2015.0
2022-04-14,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Kaithal,Kaithal,Other,2015,2025.0,2025.0
2022-04-15,Haryana,Jind,Safidon,Other,2015,2026.0,2021.0
2022-04-15,Haryana,Jind,Pillukhera,Other,2015,2025.0,2015.0
2022-04-15,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2015.0
2022-04-15,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-15,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-15,Haryana,Kurukshetra,Shahabad,Local,2015,2020.0,2017.0
2022-04-15,Haryana,Kurukshetra,Pipli,WL711,2015,2025.0,2015.0
2022-04-15,Haryana,Jind,Jullana,Other,2015,2020.0,2015.0
2022-04-15,Haryana,Rewari,Rewari,Other,2085,2155.0,2120.0
2022-04-15,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-15,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Kaithal,Cheeka,Other,2015,2025.0,2020.0
2022-04-15,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Hisar,Adampur,Other,2020,2020.0,2020.0
2022-04-15,Haryana,Hisar,Narnaund,Other,2015,2015.0,2015.0
